invoice_id,org_id,month,subtotal,credits,taxes,currency,exchange_rate_to_usd
inv_nym31sk0,org_xaji0y6d,2025-06-01,1133.34,,238.0,USD,0.97684
inv_540sejok,org_xaji0y6d,2025-07-01,619.17,,130.03,USD,1.00331
inv_ilp4vn2v,org_xaji0y6d,2025-08-01,540.79,,113.57,ARS,0.0016
inv_27nls4sz,org_pbhsahxt,2025-06-01,520.91,,109.39,ARS,0.00147
inv_xq1k1qrr,org_pbhsahxt,2025-07-01,909.56,,191.01,EUR,1.09929
inv_n5n5ehq4,org_pbhsahxt,2025-08-01,2048.95,25.93,430.28,USD,1.03282
inv_03ivwack,org_hv3a3zmf,2025-06-01,350.32,,73.57,ARS,0.00158
inv_ln9tlyo6,org_hv3a3zmf,2025-07-01,1579.4,,331.67,ARS,0.00152
inv_74dphu2x,org_hv3a3zmf,2025-08-01,580.08,,121.82,USD,0.95689
inv_rfnh671p,org_8mdd4v30,2025-06-01,951.0,4.78,199.71,USD,1.03016
inv_j0ak269r,org_8mdd4v30,2025-07-01,819.36,,172.07,USD,1.04544
inv_yohcknew,org_8mdd4v30,2025-08-01,618.66,,129.92,USD,0.98955
inv_jr73cknu,org_t9nt3w5u,2025-06-01,425.48,,89.35,USD,0.9839
inv_2mwm3728,org_t9nt3w5u,2025-07-01,345.44,11.43,72.54,ARS,0.00151
inv_pu8hn8xz,org_t9nt3w5u,2025-08-01,862.81,,181.19,EUR,1.12905
inv_4osu2ma9,org_zbikcidk,2025-06-01,557.64,,117.1,USD,0.94896
inv_0ds1bhrn,org_zbikcidk,2025-07-01,1038.68,,218.12,USD,1.02551
inv_lqlfwuui,org_zbikcidk,2025-08-01,764.27,,160.5,ARS,0.00149
inv_u52w85yp,org_wnnhj7xv,2025-06-01,1070.89,14.58,224.89,EUR,1.0106
inv_s859txad,org_wnnhj7xv,2025-07-01,199.9,66.45,41.98,EUR,1.0373
