resource_id,org_id,service,region,created_at,state,tags_json
res_eubfn9kr,org_pnsm43d8,compute,sa-east,2025-08-14,running,"[""env:prod""]"
res_fvb66h3r,org_i7p5tb94,database,ap-south,2025-06-05,stopped,
res_cbrlqmn4,org_d14ve92m,storage,eu-central,2025-08-10,running,"[""env:prod"", ""pii:true""]"
res_ew1yf0dw,org_pja1wj0t,networking,us-west,2025-06-02,running,"[""pii:true""]"
res_n6mbypjd,org_pja1wj0t,storage,us-west,2025-06-05,running,"[""env:prod"", ""costcenter:beta""]"
res_aw1lxxd8,org_1t2tala7,compute,eu-central,2025-05-20,running,"[""team:core"", ""costcenter:alpha"", ""pii:true""]"
res_gr6e7ga2,org_ly8ozcyw,database,ap-south,2025-08-07,stopped,"[""env:dev"", ""pii:true""]"
res_z5p3vob5,org_n9j2qp89,compute,sa-east,2025-06-21,running,"[""team:core"", ""env:prod""]"
res_po4ljedg,org_ir4cowgz,analytics,sa-east,2025-07-21,running,"[""env:prod"", ""team:ml"", ""backup:daily""]"
res_1f8yc8gz,org_phr62gds,storage,ap-south,2025-06-24,terminated,"[""costcenter:alpha""]"
res_ololn3eh,org_n9j2qp89,compute,ap-northeast,2025-06-17,terminated,"[""env:dev""]"
res_r1necqor,org_1n13jcat,database,eu-central,2025-07-02,terminated,"[""pii:true"", ""costcenter:beta"", ""team:ml""]"
res_6atvd1xe,org_afeyuhz1,compute,ap-northeast,2025-05-14,stopped,
res_dwh8n92t,org_pbhsahxt,storage,sa-east,2025-07-29,stopped,"[""pii:true""]"
res_8tb38wxg,org_okep7y6w,storage,eu-west,2025-08-12,running,"[""team:core"", ""env:dev""]"
res_jjy94h4k,org_874frhoc,storage,eu-west,2025-05-17,running,
res_0ukoefuk,org_a7tz0ync,analytics,sa-east,2025-06-22,running,"[""pii:true"", ""team:ml"", ""costcenter:alpha""]"
res_s258w9zj,org_1swjckjl,database,us-east,2025-05-19,stopped,"[""costcenter:beta""]"
res_mqvayxar,org_axeqbnhl,storage,ap-northeast,2025-05-31,stopped,
res_o6z1t2xc,org_1swjckjl,database,ap-south,2025-07-12,running,"[""team:core""]"
res_63qe8nvn,org_cvs4f8cg,networking,ap-south,2025-08-07,running,"[""team:core""]"
res_enga01yz,org_kdgigatj,database,sa-east,2025-05-16,stopped,"[""env:dev""]"
res_dwkzirnk,org_dhylurtp,compute,eu-west,2025-07-23,stopped,"[""env:dev"", ""team:core"", ""team:ml""]"
res_9wdjsgg0,org_253j2d54,compute,eu-west,2025-06-11,stopped,"[""env:prod""]"
res_cecjuis2,org_n9j2qp89,genai,eu-central,2025-07-12,running,"[""env:dev""]"
res_4a8ywy5a,org_1swjckjl,database,us-west,2025-07-28,stopped,"[""pii:true"", ""costcenter:beta"", ""backup:daily""]"
res_7b7p9jyq,org_pseimvih,analytics,us-east,2025-06-04,running,
res_15ikpqah,org_hv3a3zmf,networking,ap-northeast,2025-05-23,stopped,"[""team:ml""]"
res_539iy87h,org_om5igqpk,compute,eu-central,2025-07-26,running,"[""costcenter:beta""]"
res_lwdr3vwm,org_rixa11dp,analytics,us-west,2025-07-06,running,"[""costcenter:alpha"", ""team:ml"", ""team:core""]"
res_r833sicv,org_i3qk2iag,genai,eu-west,2025-05-22,running,"[""backup:daily""]"
res_1wudcbl4,org_pnsm43d8,compute,sa-east,2025-08-12,stopped,"[""team:ml""]"
res_2c2bvpdc,org_pbhsahxt,genai,eu-central,2025-05-22,running,
res_owo52wqq,org_dhylurtp,storage,ap-northeast,2025-05-24,running,
res_5wm72qlg,org_1swjckjl,database,eu-west,2025-05-15,running,
res_vc2guwjp,org_ir4cowgz,database,eu-central,2025-05-13,stopped,"[""backup:daily"", ""team:ml""]"
res_i2clp81l,org_he7ur23g,compute,eu-central,2025-05-28,stopped,
res_flmnavyc,org_53lc58dr,analytics,us-east,2025-07-05,running,
res_m9xhcgry,org_xll4zklo,networking,eu-west,2025-08-19,running,"[""backup:daily""]"
res_vlu8wpfq,org_pbhsahxt,compute,ap-south,2025-07-28,stopped,"[""team:core"", ""env:dev""]"
res_haiiwi08,org_jxepq85j,storage,us-east,2025-06-07,running,"[""costcenter:beta"", ""pii:true""]"
res_0hg9ncbe,org_ly8ozcyw,analytics,us-east,2025-07-24,running,"[""costcenter:alpha"", ""env:dev"", ""team:ml""]"
res_w6m9hkhj,org_cvs4f8cg,database,sa-east,2025-07-22,running,"[""env:prod"", ""backup:daily"", ""costcenter:alpha""]"
res_ihgjd3ex,org_8mdd4v30,database,eu-central,2025-05-20,stopped,"[""team:ml"", ""env:prod"", ""backup:daily""]"
res_ki3x7995,org_tvhhpbmy,compute,us-west,2025-05-09,terminated,"[""team:ml""]"
res_e5egtylp,org_3t60rjiw,compute,ap-northeast,2025-06-02,stopped,
res_71v4kfiw,org_t9nt3w5u,compute,us-east,2025-08-19,running,"[""costcenter:alpha"", ""pii:true"", ""team:ml""]"
res_485hcqxc,org_dzr1yxr2,networking,ap-south,2025-05-26,running,"[""pii:true"", ""backup:daily""]"
res_51nsgzsr,org_0lvsnujz,database,sa-east,2025-07-20,terminated,"[""backup:daily"", ""env:dev"", ""env:prod""]"
res_uw2xh6qi,org_nam148p0,compute,sa-east,2025-07-15,running,"[""env:dev"", ""env:prod"", ""backup:daily""]"
res_5u7ntedq,org_ly8ozcyw,storage,eu-west,2025-07-20,running,"[""costcenter:beta"", ""team:ml"", ""costcenter:alpha""]"
res_bsmqpnrj,org_d14ve92m,database,eu-west,2025-06-05,running,"[""team:core"", ""team:ml"", ""env:dev""]"
res_ixmc4sx2,org_i3qk2iag,storage,eu-central,2025-08-10,running,"[""env:dev"", ""team:core""]"
res_emtmyj01,org_c11ertj5,compute,ap-northeast,2025-05-14,stopped,"[""costcenter:alpha""]"
res_gve4ztj1,org_vyie6ivw,database,us-east,2025-05-21,running,"[""costcenter:alpha"", ""pii:true"", ""env:prod""]"
res_2oouxqs1,org_h2m5zja8,networking,sa-east,2025-05-19,terminated,"[""env:prod"", ""pii:true""]"
res_oi0rs210,org_ktakpuxq,compute,us-east,2025-06-19,running,"[""backup:daily"", ""env:prod"", ""team:core""]"
res_lg1zhqun,org_1t2tala7,analytics,eu-central,2025-07-07,running,
res_7a34mpyo,org_okep7y6w,storage,ap-south,2025-06-01,running,
res_vubf99u2,org_c11ertj5,compute,ap-south,2025-07-11,terminated,"[""pii:true"", ""env:dev""]"
res_hotgduq6,org_pac56t4u,compute,us-west,2025-08-07,running,"[""team:ml"", ""backup:daily"", ""team:core""]"
res_yg3vah6n,org_w3zp08j3,database,ap-northeast,2025-05-12,running,"[""env:dev"", ""team:ml"", ""env:prod""]"
res_xccsg4of,org_zbikcidk,storage,ap-northeast,2025-08-14,running,"[""team:ml""]"
res_ep0o6h5l,org_ktakpuxq,genai,us-west,2025-06-23,stopped,
res_fulhzqh9,org_pbhsahxt,analytics,us-west,2025-08-14,running,
res_3vilurqb,org_teiyzcot,networking,us-east,2025-06-04,stopped,"[""team:ml"", ""env:prod""]"
res_x7m42o34,org_dzr1yxr2,database,ap-northeast,2025-05-30,running,
res_60q6guo8,org_cvs4f8cg,analytics,us-west,2025-05-12,running,"[""env:dev"", ""pii:true""]"
res_f5txc066,org_he7ur23g,networking,ap-northeast,2025-07-18,stopped,
res_t9cd1lqj,org_253j2d54,genai,us-east,2025-06-13,terminated,"[""team:core"", ""env:dev""]"
res_awyqmogb,org_9mx2x18h,networking,us-west,2025-08-02,terminated,"[""costcenter:alpha"", ""team:core""]"
res_zeyqqcxz,org_xll4zklo,compute,us-west,2025-07-11,stopped,
res_qkf4vge0,org_1n13jcat,storage,ap-northeast,2025-08-16,running,
res_c1yfmhby,org_53lc58dr,genai,eu-central,2025-05-13,running,"[""env:dev"", ""backup:daily"", ""costcenter:beta""]"
res_bwsxxdyp,org_0lvsnujz,analytics,us-east,2025-08-05,terminated,"[""team:core""]"
res_bnhi6hab,org_9mx2x18h,database,ap-northeast,2025-07-06,running,"[""team:core"", ""env:prod"", ""team:ml""]"
res_yc8d4x0b,org_ujv6oh9s,compute,us-east,2025-05-05,running,"[""team:ml""]"
res_3lww7opi,org_1swjckjl,compute,ap-south,2025-07-02,stopped,"[""team:ml"", ""env:prod"", ""pii:true""]"
res_goloqc3x,org_i7p5tb94,database,ap-northeast,2025-07-27,running,"[""costcenter:beta"", ""team:core"", ""pii:true""]"
res_5o1r9z27,org_t9nt3w5u,analytics,us-east,2025-07-10,running,"[""env:prod"", ""backup:daily""]"
res_8v9zy9yl,org_he7ur23g,compute,ap-northeast,2025-05-07,stopped,"[""costcenter:beta"", ""pii:true"", ""backup:daily""]"
res_rmvvnxiv,org_chj755nf,compute,eu-central,2025-07-03,stopped,"[""team:core""]"
res_iw6l01wc,org_fel6246h,genai,ap-northeast,2025-08-12,running,
res_hnxi09p5,org_ktakpuxq,database,us-west,2025-06-12,stopped,"[""env:prod""]"
res_kx1s9xka,org_kdgigatj,networking,us-east,2025-08-08,running,
res_it6xiyzv,org_g8sbi4q2,storage,us-west,2025-05-21,running,"[""pii:true"", ""costcenter:alpha"", ""env:prod""]"
res_gwcr8b97,org_chj755nf,analytics,us-east,2025-08-14,running,"[""env:prod"", ""team:core""]"
res_gt2hspqf,org_vyie6ivw,analytics,ap-south,2025-06-27,stopped,
res_pvku8h5r,org_c11ertj5,database,ap-northeast,2025-08-14,running,"[""costcenter:beta""]"
res_ogps0132,org_4zw9xa3k,storage,us-west,2025-05-15,stopped,"[""team:core""]"
res_1pc6kttg,org_nam148p0,storage,sa-east,2025-06-06,running,"[""pii:true"", ""env:dev""]"
res_lkurlzh6,org_dbdw2pcn,compute,eu-west,2025-07-16,running,"[""team:core""]"
res_as0r778n,org_n9j2qp89,networking,eu-central,2025-05-26,stopped,"[""backup:daily""]"
res_l9c59e7f,org_g8sbi4q2,database,us-west,2025-05-26,running,"[""pii:true"", ""env:prod""]"
res_11mzwncn,org_rixa11dp,compute,sa-east,2025-08-02,running,
res_ib3wyzxj,org_53lc58dr,database,us-west,2025-05-29,running,"[""backup:daily"", ""costcenter:beta"", ""team:ml""]"
res_jv84a1x7,org_i7p5tb94,storage,ap-northeast,2025-05-07,running,"[""pii:true"", ""costcenter:beta"", ""costcenter:alpha""]"
res_9c65fpys,org_axeqbnhl,compute,ap-northeast,2025-07-23,running,
res_v0175du2,org_ofqewaou,analytics,sa-east,2025-08-07,running,
res_jh0zagrd,org_pvs7hzio,networking,ap-south,2025-05-26,running,
res_sx0gnzhg,org_sg65kxvf,database,ap-northeast,2025-07-19,stopped,"[""team:ml"", ""env:dev"", ""costcenter:alpha""]"
res_3gcg1j6o,org_9mx2x18h,compute,ap-south,2025-08-08,stopped,
