ticket_id,org_id,category,severity,created_at,resolved_at,csat,sla_breached
tkt_zjrumxqw,org_x7eedtjv,performance,low,2025-07-02,2025-07-08,4.0,False
tkt_3b4nthzm,org_gv0e38da,security,low,2025-07-21,2025-07-22,,False
tkt_32hzs32d,org_9mx2x18h,availability,low,2025-07-03,2025-07-05,3.0,False
tkt_1jqbexgf,org_1swjckjl,usability,critical,2025-07-18,2025-07-22,4.0,False
tkt_vnnvbzw5,org_trp0j43d,integration,low,2025-07-26,2025-07-31,3.0,False
tkt_apmxd6lq,org_h2m5zja8,security,medium,2025-06-14,2025-06-26,5.0,False
tkt_ga3qupo4,org_jxepq85j,availability,low,2025-06-22,2025-07-07,4.0,False
tkt_jnmyk851,org_i3qk2iag,availability,medium,2025-05-11,2025-05-14,,False
tkt_6sp18obs,org_c11ertj5,security,low,2025-08-30,,3.0,False
tkt_7587h91e,org_t9nt3w5u,performance,low,2025-07-02,,4.0,False
tkt_l88l12qf,org_nam148p0,availability,low,2025-07-22,2025-07-24,,False
tkt_af5kcihd,org_8mdd4v30,security,medium,2025-05-20,2025-06-03,,False
tkt_iy4nrmqy,org_teiyzcot,billing,high,2025-08-27,2025-08-27,,False
tkt_z6y3z1de,org_3t60rjiw,usability,low,2025-06-11,2025-06-12,5.0,True
tkt_1e1630po,org_5lxo6qji,usability,low,2025-06-11,2025-06-11,,False
tkt_cr0vhv1n,org_w3zp08j3,performance,medium,2025-07-25,,4.0,False
tkt_m3v16xeg,org_5iqvnb4g,billing,low,2025-07-24,,,False
tkt_hpmxpkn3,org_53lc58dr,security,medium,2025-06-20,2025-06-20,3.0,False
tkt_b8pfy4qc,org_x7eedtjv,performance,low,2025-06-17,2025-06-17,2.0,False
tkt_yd52alun,org_ykl1cq99,integration,low,2025-06-07,,3.0,True
tkt_qr8o1kjw,org_9t84azyt,usability,medium,2025-06-30,2025-07-05,2.0,False
tkt_v2qnrmtn,org_id25owf7,integration,low,2025-05-23,2025-05-24,,False
tkt_29tnyfm7,org_ofqewaou,billing,medium,2025-07-16,2025-07-20,4.0,False
tkt_vh30qbke,org_53lc58dr,billing,low,2025-06-23,2025-06-23,6.0,False
tkt_rn6yjmk3,org_dzr1yxr2,usability,critical,2025-08-20,2025-08-25,4.0,False
tkt_tgmalwvm,org_pbhsahxt,integration,medium,2025-06-01,2025-06-01,,False
tkt_b0idd0wp,org_pac56t4u,availability,critical,2025-08-31,2025-09-07,,False
tkt_j8yi340s,org_ofqewaou,billing,medium,2025-07-04,2025-07-04,4.0,False
tkt_qcnf9w5n,org_cwi64ciy,integration,medium,2025-08-16,2025-08-19,1.0,False
tkt_9c70pa8j,org_53lc58dr,security,low,2025-07-01,,,False
tkt_x54pegjk,org_a7tz0ync,usability,high,2025-08-01,,,False
tkt_s4i2nr1p,org_5935a0l7,billing,low,2025-07-09,,5.0,False
tkt_02jyv6yj,org_pac56t4u,performance,low,2025-08-28,2025-09-06,5.0,False
tkt_oaoejv9l,org_253j2d54,performance,medium,2025-06-09,,3.0,False
tkt_halckz3v,org_pvs7hzio,billing,medium,2025-07-04,2025-07-22,,False
tkt_wlo7ammp,org_id25owf7,usability,low,2025-06-29,2025-07-08,4.0,False
tkt_q0hzyjb4,org_cvs4f8cg,security,low,2025-06-02,2025-06-02,,False
tkt_8wumh9nk,org_kdgigatj,security,low,2025-08-02,,,False
tkt_lybwgmp9,org_phr62gds,usability,low,2025-07-28,2025-07-28,3.0,False
tkt_a9uri7ev,org_tvhhpbmy,availability,low,2025-08-02,2025-08-02,3.0,False
tkt_4dh9ugf1,org_jxepq85j,billing,medium,2025-06-05,2025-06-06,2.0,False
tkt_0oo1pvln,org_7e8g8jdp,performance,critical,2025-08-20,2025-08-21,5.0,False
tkt_d581lto4,org_zbikcidk,security,low,2025-05-19,,3.0,False
tkt_rq3q7gkt,org_a7tz0ync,security,medium,2025-06-23,,,False
tkt_mqg6nx9o,org_0lzjjege,billing,medium,2025-08-24,2025-08-24,,False
tkt_wwew9v08,org_phr62gds,usability,medium,2025-06-13,2025-06-14,,False
tkt_liuqdn05,org_om5igqpk,availability,low,2025-06-11,2025-06-12,3.0,False
tkt_xt54fn5g,org_dhylurtp,integration,low,2025-06-30,,0.0,False
tkt_77lk6hqi,org_cwi64ciy,usability,low,2025-07-26,2025-07-31,,False
tkt_v929sevl,org_ir4cowgz,usability,low,2025-07-02,2025-07-12,4.0,False
tkt_7fq8aby5,org_kdgigatj,security,critical,2025-08-09,2025-08-11,,False
tkt_95cpjze1,org_kdgigatj,usability,medium,2025-05-16,2025-05-20,3.0,False
tkt_xtar0ko3,org_wm31yiha,usability,low,2025-07-03,2025-07-06,,False
tkt_1nzsxpef,org_afeyuhz1,security,low,2025-08-31,2025-09-01,4.0,False
tkt_j31egom6,org_trp0j43d,availability,high,2025-05-21,2025-05-21,,False
tkt_2hdxc6ri,org_pvs7hzio,billing,low,2025-07-23,2025-07-23,4.0,False
