touch_id,org_id,campaign,channel,timestamp,clicked,converted
mkt_7322hr5s,org_zbikcidk,security_week,ads,2025-08-26,False,False
mkt_osc0whs1,org_5iqvnb4g,webinar_finops,email,2025-07-23,False,False
mkt_4eci9rtj,org_okep7y6w,security_week,email,2025-06-21,False,True
mkt_6u5a2x54,org_ohp6vz41,security_week,in_app,2025-08-09,True,False
mkt_u44qunf5,org_c11ertj5,upgrade_enterprise,email,2025-07-28,True,False
mkt_7vh2d3ls,org_4zw9xa3k,genai_launch,email,2025-06-18,False,False
mkt_11q01yhy,org_9t84azyt,upgrade_pro,ads,2025-06-24,True,True
mkt_a0eiva8t,org_he7ur23g,welcome,event,2025-05-28,False,False
mkt_49lxle0b,org_pbhsahxt,security_week,ads,2025-08-15,True,True
mkt_ct324zbl,org_ykl1cq99,genai_launch,email,2025-06-15,False,False
mkt_5kzhcmz2,org_pnsm43d8,upgrade_pro,email,2025-05-14,False,False
mkt_rno6cysv,org_0lzjjege,welcome,ads,2025-05-14,False,False
mkt_uhiwzwt9,org_dzr1yxr2,upgrade_enterprise,event,2025-05-11,True,False
mkt_94pn8qix,org_x7eedtjv,upgrade_pro,email,2025-07-23,False,False
mkt_43irgm5d,org_5lxo6qji,security_week,in_app,2025-07-30,False,False
mkt_koybesir,org_trp0j43d,genai_launch,email,2025-05-22,False,False
mkt_q4tp1na6,org_rixa11dp,welcome,in_app,2025-05-26,False,False
mkt_ksnjczob,org_ujv6oh9s,upgrade_pro,event,2025-08-04,False,False
mkt_d9q8wht3,org_t1ghr09s,upgrade_pro,email,2025-07-11,False,False
mkt_7oj98byt,org_253j2d54,genai_launch,event,2025-06-19,True,False
mkt_e9afpp7s,org_h2m5zja8,security_week,ads,2025-06-13,False,False
mkt_dwyqtuv2,org_cwi64ciy,welcome,ads,2025-05-18,False,False
mkt_7uubrj17,org_wm31yiha,webinar_finops,ads,2025-06-06,False,False
mkt_4wyags1k,org_ujv6oh9s,genai_launch,in_app,2025-08-17,True,False
mkt_wqjl8ez3,org_i7p5tb94,welcome,event,2025-06-17,False,False
mkt_1t6erq5a,org_ofqewaou,welcome,email,2025-05-20,False,False
mkt_83892143,org_4zw9xa3k,upgrade_enterprise,ads,2025-08-12,False,False
mkt_11bkhssc,org_a7tz0ync,genai_launch,in_app,2025-07-31,True,False
mkt_rtp08iio,org_ly8ozcyw,upgrade_enterprise,ads,2025-08-02,False,False
mkt_1q3dzvwe,org_53lc58dr,webinar_finops,event,2025-05-20,False,False
mkt_8g358gee,org_9mx2x18h,genai_launch,in_app,2025-07-11,False,False
mkt_jgbjxg56,org_pbhsahxt,upgrade_enterprise,event,2025-05-07,True,False
mkt_w0mqa1cc,org_chj755nf,welcome,in_app,2025-07-07,False,False
mkt_yy4jufn2,org_5iqvnb4g,upgrade_enterprise,event,2025-07-19,True,False
mkt_4xcrwdwf,org_ly8ozcyw,welcome,email,2025-08-02,True,True
mkt_1tqv0r09,org_om5igqpk,upgrade_enterprise,event,2025-05-20,False,False
mkt_5uhgcrkf,org_i7p5tb94,upgrade_enterprise,in_app,2025-08-14,False,True
mkt_kj6xhpd3,org_1t2tala7,upgrade_enterprise,event,2025-07-27,False,False
mkt_bgnpyhrf,org_g8sbi4q2,welcome,email,2025-07-30,False,False
mkt_ozg7fbv2,org_cwi64ciy,webinar_finops,event,2025-07-29,False,False
mkt_i6oeuh8v,org_dhylurtp,webinar_finops,ads,2025-05-20,False,False
mkt_aqvbdim2,org_h2m5zja8,security_week,ads,2025-08-10,False,False
mkt_8aqwd1bq,org_wnnhj7xv,welcome,in_app,2025-06-12,True,False
mkt_fdtnbs5x,org_9mx2x18h,upgrade_enterprise,event,2025-06-05,False,False
mkt_rga3l710,org_fel6246h,webinar_finops,ads,2025-07-12,False,False
mkt_29dg38ra,org_zhwjr64d,genai_launch,in_app,2025-07-27,True,False
mkt_jib931k2,org_he7ur23g,security_week,event,2025-07-27,False,False
mkt_6gfxamhv,org_1n13jcat,upgrade_pro,ads,2025-06-26,True,False
mkt_1f070vk3,org_gv0e38da,genai_launch,in_app,2025-08-08,False,False
mkt_2rgwhgxm,org_vyie6ivw,genai_launch,in_app,2025-05-11,True,False
mkt_d7qcq3za,org_5lxo6qji,webinar_finops,event,2025-06-02,True,False
mkt_8e83mteb,org_dbdw2pcn,webinar_finops,in_app,2025-05-28,False,False
mkt_dud8t7d2,org_xaji0y6d,welcome,email,2025-07-26,False,False
mkt_to1kvtor,org_trp0j43d,upgrade_enterprise,in_app,2025-08-13,False,False
mkt_p59yeq96,org_n9j2qp89,webinar_finops,email,2025-06-17,True,False
mkt_sjqa0px9,org_zbikcidk,genai_launch,in_app,2025-06-23,False,False
mkt_9dbk4epb,org_teiyzcot,webinar_finops,email,2025-05-17,False,False
mkt_o01717hv,org_y9v86wzs,genai_launch,email,2025-08-30,False,False
mkt_0ehlitsj,org_ir4cowgz,webinar_finops,in_app,2025-06-06,True,True
mkt_8bfi8ojg,org_phr62gds,upgrade_pro,event,2025-07-07,False,False
mkt_zacf0r7f,org_t9nt3w5u,upgrade_pro,in_app,2025-06-10,False,False
mkt_a6ahhcas,org_cvs4f8cg,upgrade_enterprise,event,2025-05-20,False,False
mkt_ikzoieas,org_9mx2x18h,genai_launch,event,2025-06-23,False,False
mkt_u29ee2a8,org_y9v86wzs,security_week,email,2025-08-03,False,False
mkt_4n1w3er7,org_zhwjr64d,welcome,event,2025-08-31,False,False
mkt_0ut100wn,org_chj755nf,upgrade_enterprise,event,2025-06-01,False,False
mkt_t0k9875t,org_5935a0l7,upgrade_pro,in_app,2025-08-17,True,False
mkt_rjib739s,org_9mx2x18h,security_week,in_app,2025-05-17,False,False
mkt_yied48cd,org_7e8g8jdp,webinar_finops,email,2025-07-29,False,False
mkt_5lxtnjs1,org_pht0hl9x,security_week,in_app,2025-06-26,False,False
mkt_8l9gj4an,org_pvs7hzio,webinar_finops,in_app,2025-05-16,True,False
mkt_liobl7vj,org_9t84azyt,genai_launch,ads,2025-07-23,False,False
mkt_uz5pfbce,org_ly8ozcyw,security_week,ads,2025-07-19,False,False
mkt_5z3ztds7,org_gv0e38da,upgrade_enterprise,in_app,2025-05-20,True,False
mkt_xsv18f6f,org_zbikcidk,security_week,ads,2025-06-24,False,False
mkt_tscjlei6,org_0lvsnujz,upgrade_enterprise,ads,2025-08-07,False,True
mkt_wgl8i9ak,org_a7tz0ync,welcome,event,2025-06-07,True,True
mkt_fd18tlty,org_afeyuhz1,genai_launch,in_app,2025-06-25,True,False
mkt_7w29max6,org_1swjckjl,welcome,email,2025-06-01,False,False
mkt_ebqgbpad,org_9t84azyt,upgrade_enterprise,in_app,2025-08-28,True,False
mkt_usqb00g9,org_hv3a3zmf,upgrade_pro,ads,2025-08-10,True,False
mkt_e07pmexj,org_dzr1yxr2,upgrade_enterprise,in_app,2025-06-16,True,False
mkt_tnrp1i36,org_5iqvnb4g,upgrade_pro,ads,2025-05-31,True,True
mkt_61l08kgf,org_d14ve92m,security_week,event,2025-05-15,False,False
mkt_p94k3awl,org_uzfk8ut0,welcome,in_app,2025-08-14,True,False
mkt_ar0wh0rf,org_ktakpuxq,webinar_finops,event,2025-05-21,False,False
mkt_iuprog71,org_xll4zklo,security_week,in_app,2025-07-31,False,False
mkt_0eq8o9s4,org_nam148p0,genai_launch,email,2025-08-17,False,False
mkt_znmzofe9,org_trp0j43d,webinar_finops,ads,2025-08-23,False,False
mkt_8wp94p4j,org_g0fn9xuy,genai_launch,event,2025-05-28,False,False
mkt_wr3xuxnb,org_fel6246h,welcome,event,2025-06-28,False,True
mkt_9dssrkfi,org_nam148p0,upgrade_pro,in_app,2025-06-24,False,False
mkt_53llp0nf,org_chj755nf,welcome,event,2025-08-24,False,False
mkt_dd2pj0mm,org_axeqbnhl,genai_launch,ads,2025-05-14,False,False
mkt_ug8xjk31,org_d14ve92m,webinar_finops,ads,2025-08-05,False,False
mkt_dzrhttqa,org_trp0j43d,upgrade_enterprise,event,2025-06-02,False,False
mkt_yiiy2s53,org_pseimvih,welcome,ads,2025-05-14,False,False
mkt_0tj2t9o5,org_afeyuhz1,genai_launch,email,2025-08-10,False,False
mkt_a439gf5l,org_53lc58dr,webinar_finops,email,2025-05-19,False,False
mkt_xk2g5eol,org_vyie6ivw,upgrade_pro,event,2025-07-23,True,False
mkt_0ta8rd05,org_5935a0l7,upgrade_pro,ads,2025-07-06,False,False
mkt_n9hczdq3,org_i7p5tb94,upgrade_pro,ads,2025-08-18,False,False
mkt_w6bdj7h7,org_pnsm43d8,upgrade_pro,email,2025-06-11,True,False
mkt_redy0vqx,org_tvhhpbmy,welcome,email,2025-07-26,True,False
mkt_o2dwn717,org_l58kxo9t,webinar_finops,email,2025-05-27,False,False
mkt_yw1bsdx4,org_l58kxo9t,upgrade_pro,in_app,2025-06-10,False,False
mkt_w3lnaehp,org_pac56t4u,welcome,event,2025-08-31,True,False
mkt_itza7uy4,org_pbhsahxt,upgrade_enterprise,ads,2025-07-08,False,False
mkt_saeq1zq8,org_pvs7hzio,welcome,event,2025-08-23,True,True
mkt_daydw9f6,org_7e8g8jdp,welcome,event,2025-08-26,True,False
mkt_y5v9jreh,org_874frhoc,upgrade_enterprise,email,2025-06-13,False,False
mkt_miqp56a2,org_uzfk8ut0,upgrade_enterprise,email,2025-07-03,True,False
mkt_tyznm5sa,org_id25owf7,webinar_finops,event,2025-06-16,True,False
mkt_xyk2e58f,org_9t84azyt,webinar_finops,ads,2025-08-02,False,False
mkt_3ob9v1t4,org_pnsm43d8,welcome,in_app,2025-07-19,True,False
mkt_jxa2ympy,org_hv3a3zmf,genai_launch,ads,2025-05-30,False,False
mkt_i46n05fl,org_wnnhj7xv,genai_launch,in_app,2025-05-30,False,False
mkt_0463na7h,org_ir4cowgz,upgrade_pro,ads,2025-05-28,False,False
mkt_n98x16f4,org_teiyzcot,security_week,ads,2025-08-22,False,False
mkt_zzw5uk4s,org_xll4zklo,genai_launch,ads,2025-07-15,False,False
mkt_ha60v33l,org_253j2d54,upgrade_pro,ads,2025-06-17,False,False
mkt_ifncrn3t,org_l58kxo9t,upgrade_enterprise,event,2025-07-10,False,False
mkt_nkziy75i,org_i3qk2iag,genai_launch,event,2025-07-17,False,False
mkt_tdl35jrj,org_ohp6vz41,welcome,in_app,2025-06-26,False,True
mkt_9r3vp8li,org_t9nt3w5u,security_week,in_app,2025-07-28,False,False
mkt_m06etcqr,org_id25owf7,genai_launch,event,2025-08-20,False,False
mkt_3ev1rdnf,org_wm31yiha,genai_launch,email,2025-05-19,False,False
mkt_4x13qinf,org_pseimvih,welcome,email,2025-07-31,True,False
mkt_2p091pqf,org_cvs4f8cg,welcome,in_app,2025-08-13,True,False
mkt_mpah3qn2,org_l58kxo9t,welcome,in_app,2025-05-21,False,False
mkt_1r91r0hr,org_9t84azyt,upgrade_pro,ads,2025-05-07,False,False
mkt_liagp34s,org_id25owf7,security_week,email,2025-05-26,True,False
mkt_lqgbul1o,org_h2m5zja8,upgrade_pro,ads,2025-07-26,False,False
mkt_t96gskbo,org_w3zp08j3,upgrade_enterprise,email,2025-06-10,False,False
mkt_jaxnhrc4,org_5935a0l7,welcome,ads,2025-06-02,False,False
mkt_hm08opev,org_41ibljh7,genai_launch,ads,2025-05-22,False,False
mkt_htz4voyb,org_wm31yiha,welcome,in_app,2025-06-20,False,False
mkt_j7soygy2,org_cwi64ciy,genai_launch,event,2025-05-07,False,False
mkt_1jmas41r,org_7e8g8jdp,security_week,in_app,2025-08-17,True,False
mkt_u08l4pja,org_dppq0y9d,security_week,ads,2025-07-06,True,False
mkt_gxlq0s5r,org_uzfk8ut0,upgrade_enterprise,email,2025-07-30,False,False
mkt_mjpcza3s,org_53lc58dr,welcome,event,2025-08-29,True,False
mkt_fgho4qhc,org_7e8g8jdp,webinar_finops,email,2025-08-08,False,False
mkt_g7fd143x,org_h2m5zja8,upgrade_pro,ads,2025-06-25,True,False
mkt_rv8df2f5,org_zhwjr64d,upgrade_enterprise,in_app,2025-08-13,False,False
mkt_nk4otbgd,org_chj755nf,upgrade_enterprise,ads,2025-05-08,False,False
mkt_puh4gbgo,org_a7tz0ync,upgrade_enterprise,email,2025-07-28,False,False
mkt_8utd9jyj,org_kdgigatj,upgrade_enterprise,in_app,2025-06-06,False,False
mkt_3ct5q517,org_y9v86wzs,genai_launch,email,2025-06-13,False,False
mkt_3c7q25y7,org_d14ve92m,security_week,in_app,2025-05-20,True,False
mkt_khg4g7ni,org_5lxo6qji,upgrade_enterprise,ads,2025-07-01,False,False
mkt_e3fkp96a,org_tvhhpbmy,upgrade_pro,email,2025-07-24,False,False
mkt_iu01lc5w,org_1t2tala7,upgrade_enterprise,event,2025-08-03,False,False
mkt_w9lzhvez,org_fel6246h,webinar_finops,in_app,2025-08-02,False,False
mkt_9rtd6enm,org_0lvsnujz,genai_launch,ads,2025-07-29,True,False
mkt_b9upeppo,org_5935a0l7,upgrade_enterprise,email,2025-07-18,False,False
mkt_lg5tk9vj,org_i3qk2iag,upgrade_pro,email,2025-05-17,False,False
